Population and Median Monthly Income from Main Employment by Year and District Council/ Constituency Area,,,,,,
,,,Population,Median Monthly Income from Main Employment(1),,
,,,Number of Persons,HK$,,
Year,,District Council/ Constituency Area,,,,
2016,,Central and Western - Chung Wan,12501,18000,,
,,Central and Western - Mid Levels East,17009,25500,,
,,Central and Western - Castle Road,20058,28000,,
,,Central and Western - Peak,20263,13000,,
,,Central and Western - University,18032,20000,,
,,Central and Western - Kennedy Town and Mount Davis,17204,19000,,
,,Central and Western - Kwun Lung,15517,14000,,
,,Central and Western - Sai Wan,14517,17000,,
,,Central and Western - Belcher,21151,18500,,
,,Central and Western - Shek Tong Tsui,17464,12150,,
,,Central and Western - Sai Ying Pun,14418,12000,,
,,Central and Western - Sheung Wan,13975,18000,,
,,Central and Western - Tung Wah,11834,20090,,
,,Central and Western - Centre Street,14207,16530,,
,,Central and Western - Water Street,15116,17000,,
,,Wan Chai - Hennessy,12839,13500,,
,,Wan Chai - Oi Kwan,13078,15000,,
,,Wan Chai - Canal Road,12076,12000,,
,,Wan Chai - Victoria Park,14242,15500,,
,,Wan Chai - Tin Hau,15093,14000,,
,,Wan Chai - Causeway Bay,11246,13000,,
,,Wan Chai - Tai Hang,14515,20000,,
,,Wan Chai - Jardine's Lookout,16502,15000,,
,,Wan Chai - Broadwood,15906,20000,,
,,Wan Chai - Happy Valley,12703,20000,,
,,Wan Chai - Stubbs Road,14730,15000,,
,,Wan Chai - Southorn,14563,19000,,
,,Wan Chai - Tai Fat Hau,12630,16000,,
,,Eastern - Tai Koo Shing West,18331,25800,,
,,Eastern - Tai Koo Shing East,18231,25000,,
,,Eastern - Lei King Wan,21788,16500,,
,,Eastern - Aldrich Bay,17453,14000,,
,,Eastern - Shaukeiwan,13405,15000,,
,,Eastern - A Kung Ngam,18475,15000,,
,,Eastern - Heng Fa Chuen,19119,21800,,
,,Eastern - Tsui Wan,12329,13000,,
,,Eastern - Yan Lam,16537,20000,,
,,Eastern - Siu Sai Wan,13032,12250,,
,,Eastern - King Yee,14767,16500,,
,,Eastern - Wan Tsui,15075,12000,,
,,Eastern - Fei Tsui,14941,12000,,
,,Eastern - Mount Parker,13409,13000,,
,,Eastern - Braemar Hill,17323,20000,,
,,Eastern - Fortress Hill,16347,20000,,
,,Eastern - City Garden,17226,15000,,
,,Eastern - Provident,21744,13900,,
,,Eastern - Fort Street,16229,15500,,
,,Eastern - Kam Ping,16976,13500,,
,,Eastern - Tanner,14538,17500,,
,,Eastern - Healthy Village,13546,14000,,
,,Eastern - Quarry Bay,13205,15000,,
,,Eastern - Nam Fung,14363,20000,,
,,Eastern - Kornhill,15412,25000,,
,,Eastern - Kornhill Garden,13970,20000,,
,,Eastern - Hing Tung,18384,15000,,
,,Eastern - Sai Wan Ho,20161,16000,,
,,Eastern - Lower Yiu Tung,19194,12800,,
,,Eastern - Upper Yiu Tung,12167,12100,,
,,Eastern - Hing Man,14605,12000,,
,,Eastern - Lok Hong,11667,17500,,
,,Eastern - Tsui Tak,12827,19000,,
,,Eastern - Yue Wan,14731,12250,,
,,Eastern - Kai Hiu,13527,13000,,
,,Southern - Aberdeen,19813,15500,,
,,Southern - Ap Lei Chau Estate,14620,12000,,
,,Southern - Ap Lei Chau North,13097,18000,,
,,Southern - Lei Tung I,15825,15000,,
,,Southern - Lei Tung II,11753,13000,,
,,Southern - South Horizons East,15555,28000,,
,,Southern - South Horizons West,15902,25000,,
,,Southern - Wah Kwai,13632,13000,,
,,Southern - Wah Fu South,13625,11750,,
,,Southern - Wah Fu North,14184,11250,,
,,Southern - Pokfulam,20216,24000,,
,,Southern - Chi Fu,15784,20000,,
,,Southern - Tin Wan,17460,13000,,
,,Southern - Shek Yue,16074,12000,,
,,Southern - Wong Chuk Hang,18889,15610,,
,,Southern - Bays Area,18514,9000,,
,,Southern - Stanley and Shek O,20051,15000,,
,,Yau Tsim Mong - Tsim Sha Tsui West,21431,30000,,
,,Yau Tsim Mong - Jordan South,18678,14000,,
,,Yau Tsim Mong - Jordan West,18260,12600,,
,,Yau Tsim Mong - Yau Ma Tei South,21141,14000,,
,,Yau Tsim Mong - Charming,17198,16000,,
,,Yau Tsim Mong - Mong Kok West,16886,11750,,
,,Yau Tsim Mong - Fu Pak,20235,15000,,
,,Yau Tsim Mong - Olympic,18205,36400,,
,,Yau Tsim Mong - Cherry,14109,14000,,
,,Yau Tsim Mong - Tai Kok Tsui South,15790,13500,,
,,Yau Tsim Mong - Tai Kok Tsui North,20452,16500,,
,,Yau Tsim Mong - Tai Nan,22800,12500,,
,,Yau Tsim Mong - Mong Kok North,19337,13000,,
,,Yau Tsim Mong - Mong Kok East,17199,13120,,
,,Yau Tsim Mong - Mong Kok South,16450,12600,,
,,Yau Tsim Mong - Yau Ma Tei North,13230,12750,,
,,Yau Tsim Mong - East Tsim Sha Tsui and King's Park,16080,26250,,
,,Yau Tsim Mong - Tsim Sha Tsui Central,16939,15000,,
,,Yau Tsim Mong - Jordan North,18550,10920,,
,,Sham Shui Po - Po Lai,19329,14500,,
,,Sham Shui Po - Cheung Sha Wan,15853,15000,,
,,Sham Shui Po - Nam Cheong North,23369,12000,,
,,Sham Shui Po - Shek Kip Mei,21093,12000,,
,,Sham Shui Po - Nam Cheong East,21434,12960,,
,,Sham Shui Po - Nam Cheong South,22780,12000,,
,,Sham Shui Po - Nam Cheong Central,21504,11160,,
,,Sham Shui Po - Nam Cheong West,19303,13000,,
,,Sham Shui Po - Fu Cheong,18813,11600,,
,,Sham Shui Po - Lai Kok,13397,12600,,
,,Sham Shui Po - Fortune,16360,15000,,
,,Sham Shui Po - Lai Chi Kok South,17181,12250,,
,,Sham Shui Po - Mei Foo South,17717,23300,,
,,Sham Shui Po - Mei Foo Central,13209,20000,,
,,Sham Shui Po - Mei Foo North,15998,20000,,
,,Sham Shui Po - Lai Chi Kok Central,19781,30000,,
,,Sham Shui Po - Lai Chi Kok North,15045,13500,,
,,Sham Shui Po - Un Chau and So Uk,18723,12250,,
,,Sham Shui Po - Lei Cheng Uk,12346,12250,,
,,Sham Shui Po - Ha Pak Tin,16648,12000,,
,,Sham Shui Po - Yau Yat Tsuen,15052,26000,,
,,"Sham Shui Po - Nam Shan, Tai Hang Tung and Tai Hang Sai",14736,13000,,
,,Sham Shui Po - Lung Ping and Sheung Pak Tin,16198,13000,,
,,Kowloon City - Ma Tau Wai,20024,14040,,
,,Kowloon City - Ma Hang Chung,20493,16000,,
,,Kowloon City - Ma Tau Kok,15489,15000,,
,,Kowloon City - Lok Man,15881,15000,,
,,Kowloon City - Sheung Lok,15311,13000,,
,,Kowloon City - Ho Man Tin,20591,20000,,
,,Kowloon City - Kadoorie,18660,20000,,
,,Kowloon City - Prince,16068,18000,,
,,Kowloon City - Kowloon Tong,21228,20000,,
,,Kowloon City - Lung Shing,15268,15000,,
,,Kowloon City - Sung Wong Toi,22251,13800,,
,,Kowloon City - Kai Tak North,16141,11000,,
,,Kowloon City - Kai Tak South,14913,12000,,
,,Kowloon City - Hoi Sham,15652,14500,,
,,Kowloon City - To Kwa Wan North,15691,11000,,
,,Kowloon City - To Kwa Wan South,14837,15000,,
,,Kowloon City - Hok Yuen Laguna Verde,19490,20000,,
,,Kowloon City - Whampoa East,17762,20000,,
,,Kowloon City - Whampoa West,22196,22000,,
,,Kowloon City - Hung Hom Bay,18933,16000,,
,,Kowloon City - Hung Hom,14235,13500,,
,,Kowloon City - Ka Wai,19597,13000,,
,,Kowloon City - Oi Man,14635,14000,,
,,Kowloon City - Oi Chun,13386,13120,,
,,Wong Tai Sin - Lung Tsui,16538,13500,,
,,Wong Tai Sin - Lung Ha,11737,12800,,
,,Wong Tai Sin - Lung Sheung,20048,12250,,
,,Wong Tai Sin - Fung Wong,15093,16500,,
,,Wong Tai Sin - Fung Tak,15358,13000,,
,,Wong Tai Sin - Lung Sing,19555,20000,,
,,Wong Tai Sin - San Po Kong,24012,14500,,
,,Wong Tai Sin - Tung Tau,16848,14000,,
,,Wong Tai Sin - Tung Mei,16376,14500,,
,,Wong Tai Sin - Lok Fu,14352,13000,,
,,Wong Tai Sin - Wang Tau Hom,17289,12250,,
,,Wong Tai Sin - Tin Keung,13747,16500,,
,,Wong Tai Sin - Tsui Chuk and Pang Ching,18175,15000,,
,,Wong Tai Sin - Chuk Yuen South,15396,12000,,
,,Wong Tai Sin - Chuk Yuen North,15209,14250,,
,,Wong Tai Sin - Tsz Wan West,20076,12800,,
,,Wong Tai Sin - Ching Oi,20755,14000,,
,,Wong Tai Sin - Ching On,22617,12250,,
,,Wong Tai Sin - Tsz Wan East,20899,14000,,
,,Wong Tai Sin - King Fu,18835,15500,,
,,Wong Tai Sin - Choi Wan East,14785,16700,,
,,Wong Tai Sin - Choi Wan South,12691,12500,,
,,Wong Tai Sin - Choi Wan West,13680,12250,,
,,Wong Tai Sin - Chi Choi,16102,18000,,
,,Wong Tai Sin - Choi Hung,15062,12000,,
,,Kwun Tong - Kwun Tong Central,15553,12960,,
,,Kwun Tong - Kowloon Bay,13061,26550,,
,,Kwun Tong - Kai Yip,15092,14000,,
,,Kwun Tong - Lai Ching,15238,15500,,
,,Kwun Tong - Ping Shek,13144,11530,,
,,Kwun Tong - Sheung Choi,22064,12000,,
,,Kwun Tong - Jordan Valley,20291,11750,,
,,Kwun Tong - Shun Tin,18530,12000,,
,,Kwun Tong - Sheung Shun,17997,16640,,
,,Kwun Tong - On Lee,14491,12000,,
,,Kwun Tong - Po Tat,22449,12000,,
,,Kwun Tong - Sau Mau Ping North,20616,12250,,
,,Kwun Tong - Hiu Lai,17046,16000,,
,,Kwun Tong - Sau Mau Ping South,15415,12000,,
,,Kwun Tong - Sau Mau Ping Central,16979,12250,,
,,Kwun Tong - Hing Tin,17136,14000,,
,,Kwun Tong - Lam Tin,22122,13500,,
,,Kwun Tong - Kwong Tak,18950,13000,,
,,Kwun Tong - Ping Tin,16354,12250,,
,,Kwun Tong - Pak Nga,13018,16900,,
,,Kwun Tong - Yau Tong East,21280,13650,,
,,Kwun Tong - Yau Lai,20709,12250,,
,,Kwun Tong - Chui Cheung,23263,17000,,
,,Kwun Tong - Yau Tong West,19271,12000,,
,,Kwun Tong - Laguna City,26271,26000,,
,,Kwun Tong - King Tin,20174,21130,,
,,Kwun Tong - Tsui Ping,18554,12000,,
,,Kwun Tong - Po Lok,14077,13000,,
,,Kwun Tong - Yuet Wah,13709,15000,,
,,Kwun Tong - Hip Hong,16839,12380,,
,,Kwun Tong - Hong Lok,15970,15000,,
,,Kwun Tong - Ting On,17995,11700,,
,,Kwun Tong - Upper Ngau Tau Kok Estate,15204,12000,,
,,Kwun Tong - Lower Ngau Tau Kok Estate,17015,13000,,
,,Kwun Tong - To Tai,17060,20000,,
,,Kwun Tong - Lok Wah North,12670,12000,,
,,Kwun Tong - Lok Wah South,12934,13300,,
,,Kwai Tsing - Kwai Hing,18005,14000,,
,,Kwai Tsing - Kwai Shing East Estate,20013,11250,,
,,Kwai Tsing - Upper Tai Wo Hau,13779,13000,,
,,Kwai Tsing - Lower Tai Wo Hau,13461,13000,,
,,Kwai Tsing - Kwai Chung Estate North,20378,11500,,
,,Kwai Tsing - Kwai Chung Estate South,21729,12250,,
,,Kwai Tsing - Shek Yam,22396,12250,,
,,Kwai Tsing - On Yam,16327,12000,,
,,Kwai Tsing - Shek Lei South,20068,12000,,
,,Kwai Tsing - Shek Lei North,22586,12250,,
,,Kwai Tsing - Tai Pak Tin,23783,13000,,
,,Kwai Tsing - Kwai Fong,18492,12000,,
,,Kwai Tsing - Wah Lai,16996,15000,,
,,Kwai Tsing - Lai Wah,16187,15000,,
,,Kwai Tsing - Cho Yiu,16082,18500,,
,,Kwai Tsing - Hing Fong,24334,14000,,
,,Kwai Tsing - Lai King,13985,12000,,
,,Kwai Tsing - Kwai Shing West Estate,17804,12250,,
,,Kwai Tsing - On Ho,20605,15500,,
,,Kwai Tsing - Wai Ying,19900,20000,,
,,Kwai Tsing - Tsing Yi Estate,14924,15500,,
,,Kwai Tsing - Greenfield,18194,20000,,
,,Kwai Tsing - Cheung Ching,18663,13500,,
,,Kwai Tsing - Cheung Hong,14091,13000,,
,,Kwai Tsing - Shing Hong,15923,12880,,
,,Kwai Tsing - Tsing Yi South,17327,14000,,
,,Kwai Tsing - Cheung Hang,13968,12250,,
,,Kwai Tsing - Ching Fat,17661,14000,,
,,Kwai Tsing - Cheung On,12911,14000,,
,,Tsuen Wan - Tak Wah,22448,13000,,
,,Tsuen Wan - Yeung Uk Road,23996,14000,,
,,Tsuen Wan - Hoi Bun,19955,18500,,
,,Tsuen Wan - Clague Garden,17294,11250,,
,,Tsuen Wan - Fuk Loi,14729,12050,,
,,Tsuen Wan - Discovery Park,16864,20000,,
,,Tsuen Wan - Tsuen Wan Centre,15558,16000,,
,,Tsuen Wan - Allway,20391,17000,,
,,Tsuen Wan - Lai To,19308,20000,,
,,Tsuen Wan - Ting Sham,18573,20000,,
,,Tsuen Wan - Tsuen Wan West,19778,21000,,
,,Tsuen Wan - Tsuen Wan Rural,19687,20700,,
,,Tsuen Wan - Ma Wan,15012,25000,,
,,Tsuen Wan - Luk Yeung,14579,19000,,
,,Tsuen Wan - Lei Muk Shue East,17410,13000,,
,,Tsuen Wan - Lei Muk Shue West,17437,12000,,
,,Tsuen Wan - Shek Wai Kok,13318,12000,,
,,Tsuen Wan - Cheung Shek,12579,12250,,
,,Tuen Mun - Tuen Mun Town Centre,21629,19900,,
,,Tuen Mun - Siu Chi,19961,15000,,
,,Tuen Mun - Siu Tsui,18796,15200,,
,,Tuen Mun - On Ting,16265,12500,,
,,Tuen Mun - Yau Oi South,15144,12000,,
,,Tuen Mun - Yau Oi North,15175,13900,,
,,Tuen Mun - Tsui Hing,19094,18000,,
,,Tuen Mun - Shan King,16842,12250,,
,,Tuen Mun - King Hing,14681,12000,,
,,Tuen Mun - Hing Tsak,15187,13000,,
,,Tuen Mun - San Hui,19477,13000,,
,,Tuen Mun - Sam Shing,21552,17190,,
,,Tuen Mun - Hanford,20884,20000,,
,,Tuen Mun - Fu Sun,18968,15750,,
